"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"2056","Eagle Bulk Shipping Inc.","EGLE","20303010",2199913,219,112,190,1000,0,21,0,0,208,216.6797072155,0,"Yes"
"2057","Willscot Mobile Mini Holdings Corp","WSC","20201070",2199914,1712,949,748,3505,174,131,323,0,453,5235.51047021193,0.0016,"Yes"
"2058","Intrepid Potash Inc","IPI","15101010",2199915,186,163,64,603,18,1,0,0,5,202.20202440466,0,"Yes"
"2059","Arch Resources Inc","ARCH","10102050",2199916,1621,1369,260,1457,0,2,0,0,55,879.70916376,0.004,"No"
"2060","CTO Realty Growth Inc","CTO","60102010",2199917,67,11,31,777,49,0,0,0,540,243.21643277009,0,"Yes"
"2061","WW International Inc","WW","25302020",2199918,1465,605,1484,318,818,137,159,0,310,2107.416780673,5e-04,"Yes"
"2062","Scorpio Bulkers Inc","SALT","20303010",2199919,144,88,97,0,0,38,0,0,0,343.67271788025,0,"Yes"
"2063","Glatfelter Corp","GLT","15105020",2199920,942,767,306,734,111,9,182,0,61,767.82823377973,0,"Yes"
"2064","US Ecology Inc","ECOL","20201050",2199921,984,671,595,878,668,40,891,0,38,1141.47948812934,0,"Yes"
"2065","Xperi Holding Corp","XPER","45301020",2199922,901,120,433,82,172,15,286,284,312,2163.48513724385,0,"Yes"
"2066","Ufp Industries Inc","UFPI","15105010",2199923,4815,4015,1270,954,52,33,218,0,242,3249.6840884142,0.0341,"Yes"
"2067","Whiting Petroleum Corp","WLL","10102020",2199925,791,227,843,12923,0,2,0,20,443,1749.297887316,0,"No"
"2068","Nabors Industries Ltd.","NBR","10101010",2199926,1922,1256,735,13023,0,36,28,32,279,505.98254381085,0.0021,"No"
"2069","Champions Oncology Inc","CSBR","35201010",2199927,38,20,26,9,0,0,0,6,4,135.015444,0,"Yes"
"2070","SWK Holdings Corp","SWKH","40201040",2199928,34,0,16,1,25,0,8,0,0,179.858002422,0,"Yes"
"2071","Checkmate Pharmaceuticals Inc","CMPI","35201010",2199930,0,0,5,0,0,0,0,0,0,385.88814813613,0,"Yes"
"2072","Ibex Ltd","IBEX","45103020",2199932,442,0,1005,182,2,0,11,0,43,355.07459850757,0,"Yes"
"2073","Progenity Inc","PROG","35101010",2199934,137,113,274,36,4,14,6,72,-85,191.58594159672,0,"Yes"
"2074","Pandion Therapeutics Inc","PAND","35201010",2199935,4,0,15,5,0,1,0,39,-44,475.94224945751,0,"Yes"
"2075","Bellerophon Therapeutics Inc","BLPH","35201010",2199936,3,0,23,4,0,0,0,17,-20,66.7819052613,0,"Yes"
"2076","DermTech Inc","DMTK","35101020",2199937,13,0,12,1,0,0,0,0,0,253.12109118564,0,"Yes"
"2077","Alpine Income Property Trust Inc","PINE","60101040",2199938,25,4,5,128,22,0,0,0,-280,142.1010063,0,"Yes"
"2078","Beyond Air Inc","XAIR","35101020",2199939,0,0,17,0,0,0,0,12,-15,93.88333033678,0,"Yes"
"2079","Galera Therapeutics Inc","GRTX","35201010",2199940,19,0,23,2,2,0,0,47,-33,271.36002061191,0,"Yes"
"2080","PAVmed Inc","PAVM","35101010",2199941,5,0,12,0,0,0,0,0,0,107.54592615317,0,"Yes"
"2081","Ellington Residential Mortgage REIT","EARN","60101080",2199942,21,0,0,0,0,0,0,0,0,149.35531257649,0,"Yes"
"2082","Chembio Diagnostics Inc","CEMI","35202010",2199943,36,22,43,22,4,3,7,9,-16,126.13549362667,0,"Yes"
"2083","VolitionRX Ltd","VNRX","35101020",2199944,1,0,19,5,0,0,0,13,0,166.18750011695,0,"Yes"
"2084","Electromed  Inc.","ELMD","35101010",2199945,33,7,57,8,0,0,0,1,0,87.822879,0,"Yes"
"2085","SeaChange International Inc","SEAC","45103020",2199947,26,16,91,11,2,0,9,10,-2,34.590715848,0.08,"Yes"
"2086","Pixelworks  Inc.","PXLW","45301020",2199948,48,22,59,31,2,0,15,25,-23,111.58089710588,0,"Yes"
"2087","Sharps Compliance Corp.","SMED","20201050",2199949,55,38,37,27,2,2,6,0,0,140.97798,0,"Yes"
"2088","PC Tel Inc","PCTI","45201020",2199950,87,45,74,45,0,0,1,11,3,118.3944632,0,"Yes"
"2089","Milestone Scientific Inc.","MLSS","35101010",2199951,8,2,31,0,0,0,0,0,-7,84.6190925,0,"Yes"
"2090","Soleno Therapeutics Inc","SLNO","35201010",2199952,0,0,24,0,16,0,0,25,0,221.65869780555,0,"Yes"
"2091","Intellicheck Inc","IDN","45103020",2199953,17,2,16,1,0,0,8,4,4,157.2930012,0,"Yes"
"2092","Aspen Aerogels Inc","ASPN","20102010",2199954,106,88,91,161,0,0,0,6,-2,391.23551722453,0,"Yes"
"2093","Resonant Inc","RESN","45103020",2199955,5,0,35,15,1,0,0,14,-19,119.11557943427,0,"Yes"
"2094","Trean Insurance Group Inc","TIG","40301040",2199956,532,0,160,15,0,0,4,0,60,765.7369245207,0,"Yes"
"2095","Surgalign Holdings Inc","SRGA","35101020",2199957,122,65,392,157,15,0,84,9,-7,198.66765590204,0,"Yes"
"2096","iTeos Therapeutics Inc","ITOS","35201010",2199958,0,0,24,3,0,0,0,46,-60,1168.8309539742,0,"Yes"
"2097","Inozyme Pharma Inc","INZY","35201010",2199959,0,0,18,4,0,0,0,45,-59,480.03163532456,0,"Yes"
"2098","Nurix Therapeutics Inc","NRIX","35201010",2199960,26,0,24,17,0,0,0,92,-77,1490.25461100293,0,"Yes"
"2099","Maxeon Solar Technologies Ltd","MAXN","20104020",2199961,1051,920,250,559,5,0,0,30,-167,689.4461104292,5e-04,"Yes"
"2100","NetSTREIT Corp","NTST","60102010",2199962,56,1,10,1236,19,0,0,0,-1085,535.39416922992,0,"Yes"
"2101","Pliant Therapeutics Inc","PLRX","35202010",2199963,13,0,30,7,0,0,0,102,-93,1090.05386107519,0,"Yes"
"2102","American Outdoor Brands Inc","AOUT","25202010",2199964,209,117,139,0,71,0,66,5,-5,195.30003812256,0,"Yes"
"2103","Gan Ltd","GAN","45103020",2199966,48,0,18,3,-3,0,0,0,-1,923.747113146,0,"Yes"
"2104","Alta Equipment Group Inc","ALTG","20106020",2199967,977,0,0,0,0,0,0,0,0,250.3953950475,0,"Yes"
"2105","Acutus Medical Inc","AFIB","35101010",2199968,51,15,62,14,4,2,12,61,-86,735.40839799699,0,"Yes"
"2106","Montrose Environmental Group Inc","MEG","20201050",2199969,371,228,147,63,156,19,193,0,57,1270.0643033,0,"Yes"
"2107","Casper Sleep Inc","CSPR","25201020",2199970,579,270,735,83,0,0,0,19,-22,308.72812227264,0,"Yes"
"2108","Genasys Inc","GNSS","45201020",2199971,47,23,33,5,1,0,3,5,5,212.98256437612,0,"Yes"
"2109","ORIC Pharmaceuticals Inc","ORIC","35201010",2199972,0,0,18,5,0,0,0,55,0,1216.24845056715,0,"Yes"
"2110","Oportun Financial Corp","OPRT","40202010",2199973,639,0,1196,107,18,30,0,0,55,513.6545789416,0,"Yes"
"2111","ContraFect Corp","CFRX","35201010",2199974,27,0,29,7,0,0,0,35,0,162.43018119192,0,"Yes"
"2112","Fathom Holdings Inc","FTHM","60102040",2199975,217,201,27,1,0,0,0,0,0,373.8237946,0,"Yes"
"2113","Akouos Inc","AKUS","35201010",2199976,0,0,10,18,0,0,0,44,-69,646.08812222682,0,"Yes"
"2114","Gannett Co Inc","GCI","50201040",2199977,3134,0,2126,1563,1301,243,1175,0,360,419.67715015774,0.0017,"Yes"
"2115","PowerFleet Inc","PWFL","45102010",2199978,128,60,102,26,51,2,125,11,-19,178.1733432248,0,"Yes"
"2116","A-Mark Precious Metals Inc","AMRK","25203010",2199980,6239,6140,96,19,4,4,8,0,-7,227.3622739479,1,"Yes"
"2117","Cabaletta Bio Inc","CABA","35201010",2199981,0,0,6,0,0,0,0,0,0,416.02375091831,0,"Yes"
"2118","89bio Inc","ETNB","35201010",2199982,0,0,16,0,0,0,0,56,-67,493.16894132003,0,"Yes"
"2119","Ideaya Biosciences Inc","IDYA","35201010",2199983,42,0,25,6,0,0,0,48,-34,471.57579091785,0,"Yes"
"2120","Cassava Sciences Inc","SAVA","35201010",2199984,22,0,11,0,0,0,0,36,0,134.0724,0,"Yes"
"2121","Vyne Therapeutics Inc","VYNE","35201010",2199985,68,0,64,0,0,0,0,89,-49,41.4445206,0,"Yes"
"2122","OneWater Marine Inc","ONEW","25202010",2199986,1091,840,327,31,63,68,127,0,50,399.98245029772,6e-04,"Yes"
"2123","HBT Financial Inc","HBT","40101010",2199987,150,0,248,97,11,0,21,0,47,411.15922493693,0,"Yes"
"2124","Poseida Therapeutics  Inc.","PSTX","35201010",2199989,0,0,51,4,1,44,4,120,0,639.82706869409,0,"Yes"
"2125","Harpoon Therapeutics Inc","HARP","35201010",2199990,18,0,48,19,0,0,0,49,-51,359.70006247727,0,"Yes"
"2126","Immunic Inc","IMUX","35201010",2199991,0,0,46,0,0,0,32,31,0,419.66321045013,0,"Yes"
"2127","Harrow Health Inc","HROW","35201010",2199992,61,18,89,0,3,0,2,1,12,154.562024,0,"Yes"
"2128","Ibio Inc","IBIO","35202010",2199993,2,0,33,37,0,0,0,7,-11,211.8313405845,0,"Yes"
"2129","Exicure Inc","XCUR","35201010",2199994,9,0,28,12,0,0,0,41,-25,160.0091733963,0,"Yes"
"2130","Plymouth Industrial Reit Inc","PLYM","60101040",2199996,110,43,22,630,37,2,0,0,81,423.16561433385,0,"Yes"
"2131","Quantum Corp","QMCO","45202030",2199997,346,197,407,55,0,9,0,31,27,230.774893389,0,"Yes"
"2132","Aspen Group Inc","ASPU","25302020",2199998,66,26,66,15,8,4,5,0,-2,217.3870713,0,"Yes"
"2133","Veru Inc","VERU","35202010",2199999,47,19,43,3,19,1,6,22,-8,383.27492744248,0,"Yes"
"2134","Smith Micro Software  Inc.","SMSI","45103020",2200000,52,5,57,19,4,0,7,18,1,204.56023,0,"Yes"
"2135","Stereotaxis Inc","STXS","35101010",2200002,38,10,56,13,0,0,0,11,-4,284.3626258,0,"Yes"
"2136","iCAD Inc","ICAD","35101010",2200003,38,9,56,9,1,1,7,10,-4,221.82246,0,"Yes"
"2137","Orion Energy Systems  Inc.","OESX","20102010",2200004,120,87,69,37,1,2,0,1,12,311.63694030946,0,"Yes"
"2138","InfuSystem Holdings Inc","INFU","35101020",2200005,106,40,118,88,4,1,0,0,12,351.977466,0,"Yes"
"2139","Luna Innovations Incorporated","LUNA","20106020",2200006,91,43,62,21,20,0,20,8,12,351.24148727862,0,"Yes"
"2140","Repro-Med Systems  Inc.","KRMD","35101020",2200007,29,9,17,2,0,0,0,0,6,200.7751334,0,"Yes"
"2141","Lakeland Industries  Inc.","LAKE","25203010",2200008,148,78,2,22,0,0,0,0,2,181.73500905076,0,"Yes"
"2142","Intevac  Inc.","IVAC","20106020",2200009,113,66,66,72,0,0,0,14,0,141.4404,0,"Yes"
"2143","Dyadic International  Inc.","DYAI","35201010",2200010,6,0,10,0,0,0,0,0,0,172.82368,0,"Yes"
"2144","CyberOptics Corporation","CYBE","45203010",2200011,76,42,47,21,0,0,1,10,5,197.96212,0,"Yes"
"2145","Alpha Pro Tech  Ltd.","APT","35101020",2200012,142,72,48,18,0,0,0,0,18,172.89985470213,0,"Yes"
"2146","Universal Technical Institute  Inc.","UTI","20201070",2200013,339,79,740,318,0,76,8,0,16,338.6780317312,0,"Yes"
"2147","Vaxart Inc","VXRT","35201010",2200014,46,0,22,0,-3,0,0,33,-10,160.9086192,0,"Yes"
"2148","Fulgent Genetics Inc","FLGT","35101010",2200015,375,66,65,16,0,0,0,32,171,1239.40863230422,0,"Yes"
"2149","Carparts.Com Inc","PRTS","25504050",2200016,484,312,315,78,0,1,0,0,11,506.8668,0,"Yes"
"2150","Avidity Biosciences Inc","RNA","35202010",2200017,4,0,18,3,0,0,0,61,-73,1436.7714577299,0,"Yes"
"2151","Annexon Inc","ANNX","35202010",2200018,0,0,23,3,0,0,0,50,-59,4626.045957,0,"Yes"
"2152","Zentalis Pharmaceuticals Inc","ZNTL","35201010",2200019,0,0,31,3,8,0,3,106,-129,2219.48153954528,0,"Yes"
"2153","Applied Molecular Transport Inc.","AMTI","35201010",2200020,0,0,13,5,0,0,0,78,0,1162.1914729609,0,"Yes"
"2154","Accolade Inc","ACCD","35102015",2200022,160,89,206,64,2,41,4,0,-18,2624.0803458,0,"Yes"
"2155","Keros Therapeutics Inc","KROS","35201010",2200023,0,0,10,2,0,0,0,55,0,1781.6991692346,0,"Yes"
"2156","ALX Oncology Holdings Inc","ALXO","35201010",2200024,1,11,9,8,0,1,0,41,-56,3184.64626548282,0,"Yes"
"2157","Quotient Ltd","QTNT","35101020",2200025,41,22,110,110,0,20,0,56,-72,620.59636685127,0,"Yes"
"2158","Allovir Inc","ALVR","35201010",2200026,0,0,10,0,0,0,0,0,0,2766.64224641676,0,"Yes"
"2159","Vital Farms  Inc.","VITL","30101030",2200027,245,164,114,54,0,0,3,0,-14,1004.8585005,0,"Yes"
"2160","Arcutis Biotherapeutics Inc","ARQT","35201010",2200028,0,0,6,0,0,0,0,0,0,1226.45288509014,0,"Yes"
"2161","Precigen Inc","PGEN","35201010",2200029,98,42,318,112,93,45,98,67,-67,1510.40877524813,0,"Yes"
"2162","Nextier Oilfield Solutions Inc","NEX","10101020",2200030,1017,858,332,1266,49,66,125,0,7,857.86561979654,2e-04,"No"
"2163","Ranpak Holdings Corp","PACK","15103020",2200031,313,182,50,0,0,0,0,0,0,873.0180739896,0,"Yes"
"2164","Accel Entertainment Inc","ACEL","25301010",2200032,578,0,60,0,0,0,0,0,0,816.76651871996,0,"Yes"
"2165","Rapt Therapeutics Inc","RAPT","35201010",2200033,4,0,23,11,0,0,0,56,-58,608.60679129007,0,"Yes"
"2166","iHeartMedia Inc","IHRT","50201020",2200034,3280,1101,4610,1413,2644,0,3446,0,667,1841.58526338,8e-04,"Yes"
"2167","Xpel Inc","XPEL","25101010",2200035,180,118,72,0,2,0,1,0,18,1236.83191702515,0,"Yes"
"2168","Neoleukin Therapeutics Inc","NLTX","35201010",2200036,0,0,60,1,0,0,0,13,0,694.41118285488,0,"Yes"
"2169","Viemed Healthcare Inc","VMD","35102015",2200037,119,41,120,68,0,2,0,1,28,417.0045585044,0,"Yes"
"2170","Co-Diagnostics Inc","CODX","35101010",2200038,109,0,31,0,0,0,0,6,-67,311.05942448564,0,"Yes"
"2171","GrowGeneration Corp","GRWG","15101030",2200039,296,216,54,0,0,0,27,0,0,1757.1102761576,0,"Yes"
"2172","Rackspace Technology  Inc.","RXT","45102010",2200040,2921,1791,2744,2107,2350,692,3012,0,434,4202.31787604795,0.0012,"Yes"
"2173","Ontrak Inc","OTRK","35102015",2200041,163,89,6,0,0,3,0,0,0,1064.65386198481,0,"Yes"
"2174","SelectQuote Inc","SLQT","40301030",2200042,866,270,401,56,28,60,46,0,221,3811.63088389941,0,"Yes"
"2175","PAE Inc","PAE","20101010",2200043,3089,0,4,0,0,0,0,0,0,930.985232607,0.8632,"Yes"
"2176","Inari Medical Inc","NARI","35101020",2200044,176,23,123,1,0,0,0,25,15,3139.0268208,0,"Yes"
"2177","Viela Bio Inc","VIE","35201010",2200047,56,0,72,2,0,0,0,149,-164,2225.56443704258,0.0833,"Yes"
"2178","Option Care Health Inc","OPCH","35102015",2200048,3217,2492,924,298,493,68,1821,0,197,3088.0294940976,0.0039,"Yes"
"2179","Adapthealth Corp","AHCO","35101020",2200049,2154,1733,54,225,0,34,266,0,0,4517.19001922478,0.0353,"Yes"
"2180","Franchise Group Inc","FRG","25302020",2200050,2287,1241,1179,631,77,90,133,0,-140,1086.20851754885,0.0018,"Yes"
"2181","Nkarta Inc","NKTX","35201010",2200051,0,0,16,10,0,0,0,57,0,2316.72541344587,0,"Yes"
"2182","Relmada Therapeutics Inc","RLMD","35201010",2200052,0,0,47,0,0,0,0,55,0,662.35307117455,0,"Yes"
"2183","Shyft Group Inc","SHYF","25102010",2200053,777,613,205,180,81,16,65,4,49,930.08101441439,0,"Yes"
"2184","Smith & Wesson Brands Inc","SWBI","25202010",2200054,930,560,385,428,73,9,83,13,110,709.9671957448,0,"Yes"
"2185","Forma Therapeutics Holdings Inc","FMTX","35201010",2200055,25,0,55,26,0,0,0,149,-133,1985.40424446,0,"Yes"
"2186","Progyny Inc","PGNY","35102030",2200056,535,424,91,4,2,0,11,0,38,3798.26317008872,0,"Yes"
"2187","SiTime Corp","SITM","45301020",2200057,140,66,62,35,4,0,0,35,5,2081.4521187796,0,"Yes"
"2188","Perdoceo Education Corp","PRDO","25302020",2200058,712,112,1259,114,7,0,87,0,126,896.01655,0,"Yes"
"2189","Diversified Healthcare Trust","DHC","60101080",2200059,1534,892,205,6708,0,0,0,0,237,1271.88530798494,0.0044,"Yes"
"2190","Arcturus Therapeutics Holdings Inc","ARCT","35201010",2200061,143,0,46,9,0,0,0,88,-2,2167.850930049,0,"Yes"
"2191","Bellring Brands Inc","BRBR","30202030",2200062,1098,724,405,22,296,0,65,10,51,972.21598507908,5e-04,"Yes"
"2192","Magnite Inc","MGNI","45102030",2200063,264,95,294,143,37,0,10,62,-12,1024.39458,0,"Yes"
"2193","BRP Group Inc","BRP","40301030",2200064,512,287,0,19,131,18,233,0,165,2783.97923835408,0,"Yes"
"2194","Pennant Group Inc","PNTG","35102015",2200065,432,305,186,353,35,1,43,0,32,1750.28505925392,0,"Yes"
"2195","Enerpac Tool Group Corp","EPAC","20106020",2200067,519,294,611,0,53,0,240,0,45,1292.2938405234,0,"Yes"
"2196","Relay Therapeutics Inc","RLAY","35201010",2200068,0,0,37,39,0,0,0,138,-149,4339.01003318521,0,"Yes"
"2197","Sprout Social Inc","SPT","45103020",2200070,167,42,217,26,4,0,1,35,19,2578.12117219039,0,"Yes"
"2198","Ping Identity Holding Corp","PING","45102010",2200071,290,55,306,9,207,17,417,56,28,2108.04710834043,0,"Yes"
"2199","Service Properties Trust","SVC","60101080",2200072,1622,1110,211,13864,378,74,0,0,-1354,4286.85459308379,0.0048,"Yes"
"2200","Vivint Smart Home Inc","VVNT","45201020",2200074,1387,0,1,0,0,0,0,0,0,925.4625,0.6703,"Yes"
"2201","Repay Holdings Corp","RPAY","20201070",2200075,185,0,77,2,85,2,389,0,0,1956.70426868355,0,"Yes"
"2202","Immunovant Inc","IMVT","35201010",2200076,0,0,18,0,0,0,0,0,0,4113.52208281476,0,"Yes"
"2203","ChampionX Corp","CHX","10101020",2200077,2714,1920,528,758,214,16,817,31,268,2879.733226572,0.0053,"No"
"2204","Onto Innovation Inc","ONTO","45301010",2200079,629,287,246,80,4,0,4,77,113,2233.9019178478,0,"Yes"
"2205","Schrodinger Inc","SDGR","45103020",2200080,173,53,141,29,0,0,0,66,-74,5854.56255488664,0,"Yes"
"2206","APi Group Corp","APG","20103010",2200081,3870,2943,1875,648,1953,65,1707,0,432,3357.19140056012,0.0025,"Yes"
"2207","Cerence Inc","CRNC","45103020",2200082,376,106,161,60,68,0,1177,96,102,3674.91829440048,0,"Yes"
"2208","1life Healthcare Inc","ONEM","35102015",2200084,479,297,380,238,0,3,21,0,-40,5353.86200577946,0,"Yes"
"2209","Vir Biotechnology Inc","VIR","35201010",2200085,156,0,128,32,40,0,19,324,-304,975.749928,0.0471,"Yes"
"2210","Ovintiv Inc","OVV","10102020",2200086,5525,1564,4997,56700,0,787,2613,0,368,4280.4338064,0.0346,"No"
"2211","Mimecast Ltd","MIME","45102030",2200087,493,114,548,290,43,56,171,87,67,3633.2750424352,0,"Yes"
"2212","Avient Corp","AVNT","15101020",2200088,3889,2904,1467,851,362,47,529,66,351,3545.97163287564,0.0032,"Yes"
"2213","Centogene NV","CNTG","35201010",2200089,67,39,88,39,14,0,0,11,-11,160.46071656008,0,"Yes"
"2214","Exagen Inc","XGN","35101020",2200090,53,21,79,0,0,0,5,3,-14,53.2163099,0,"Yes"
"2215","TELA Bio Inc","TELA","35101020",2200092,37,12,65,4,2,0,0,6,-25,244.30758416246,0,"Yes"
"2216","Five Star Senior Living Inc","FVE","35102015",2200093,1200,261,2297,162,0,0,0,0,-24,35.69278,2e-04,"Yes"
"2217","Akerna Corp","KERN","45102010",2200094,16,7,37,0,7,0,20,0,0,62.16536662034,0,"Yes"
"2218","Nesco Holdings Inc","NSCO","40201040",2200095,330,227,27,687,70,9,238,0,0,258.80917770446,0,"Yes"
"2219","Aravive Inc","ARAV","35201010",2200097,0,0,68,12,0,0,0,18,0,119.26763124045,0,"Yes"
"2220","Eton Pharmaceuticals Inc","ETON","35201010",2200098,29,1,22,1,0,0,0,24,-127,210.30210027706,0,"Yes"
"2221","Venus Concept Inc","VERO","35101010",2200099,99,33,165,13,22,4,27,6,-17,18.99291,0,"Yes"
"2222","Aytu Bioscience Inc","AYTU","35201010",2200100,58,16,69,1,50,0,28,2,0,308.6614283,0,"Yes"
"2223","SM Energy Co","SM","10102020",2200101,1341,421,327,9378,0,39,0,31,276,734.5663147264,0.0018,"No"
"2224","Frequency Therapeutics Inc","FREQ","35201010",2200102,66,33,36,7,0,0,0,39,19,997.41949449649,0,"Yes"
"2225","Bristow Group Inc","VTOL","20302010",2209757,1184,0,81,904,0,8,0,0,85,202.5982365,0.0041,"Yes"
"2226","Generac Holdings Inc.","GNRC","20104010",2478353,2883,1769,986,602,305,26,826,87,378,13284.3089041763,0.0031,"Yes"
"2227","Consolidated Water Co. Ltd.","CWCO","55104010",2478355,76,48,57,166,5,0,13,0,11,180.888106,0,"Yes"
"2228","Essential Utilities Inc","WTRG","55104010",2478478,2017,0,7,7648,0,10,0,0,0,12403.6744938645,0.1392,"Yes"
"2229","Continental Resources  Inc.","CLR","10102020",2478479,3272,710,1022,28563,0,11,0,12,714,10780.718613762,0.0036,"No"
"2230","National Fuel Gas Co.","NFG","55102010",2478480,2018,969,0,12386,0,21,5,0,95,4023.39710914038,0.344,"Yes"
"2231","IDACORP Inc","IDA","55101010",2478482,1365,827,0,6946,0,0,0,0,174,4657.81095067664,0.239,"Yes"
"2232","EQT Corporation","EQT","10102020",2478483,4272,1957,729,20254,-145,97,0,7,864,2925.53291656406,0.008,"No"
"2233","Avangrid Inc","AGR","55103010",2478484,6502,3854,7,38460,323,206,3127,0,-681,14183.1511085956,0.2432,"Yes"
"2234","UGI Corp","UGI","55102010",2478485,6939,3501,5499,10510,534,308,3289,0,548,7423.75223448583,0.1501,"Yes"
"2235","OGE Energy Corp.","OGE","55101010",2478486,2319,0,0,12371,0,46,0,0,0,6454.80301884541,0.486,"Yes"
"2236","Vistra Corp","VST","55101010",2478487,12779,0,5192,17095,2566,156,2129,0,2707,8866.18698645791,0.6472,"Yes"
"2237","Pinnacle West Capital Corporation","PNW","55101010",2478488,3737,0,0,23049,262,28,0,0,-237,9191.87163148833,0.5364,"Yes"
"2238","NiSource Inc.","NI","55103010",2478489,5448,3198,35,26635,220,22,1690,0,-460,8984.86252967794,0.1369,"Yes"
"2239","CenterPoint Energy Inc","CNP","55103010",2478490,8253,0,0,27529,65,23,877,0,-354,13435.4507104319,1,"Yes"
"2240","PG&E Corporation","PCG","55101010",2478491,19742,0,0,84062,0,0,0,0,0,25590.501812304,1,"Yes"
"2241","ONEOK  Inc.","OKE","10102040",2478492,11554,0,5,18030,0,21,0,0,0,18838.0792178648,1,"No"
"2242","Alliant Energy Corporation","LNT","55101010",2478493,3803,2244,0,20170,0,16,0,0,160,12921.6154436639,0.6013,"Yes"
"2243","Evergy Inc","EVRG","55101010",2478494,5093,0,52,29426,0,75,2338,0,579,12564.2078044435,0.0934,"Yes"
"2244","Atmos Energy Corporation","ATO","55102010",2478495,3434,1733,0,18042,0,49,737,0,-897,12603.7230919973,0.4233,"Yes"
"2245","FirstEnergy Corp.","FE","55101010",2478496,11770,3467,93,39534,93,165,5618,0,424,16518.4211013892,0.3783,"Yes"
"2246","PPL Corp","PPL","55101010",2478497,8169,3377,0,49352,668,82,2951,0,745,21723.3513181865,0.4028,"Yes"
"2247","Entergy Corporation","ETR","55103010",2478498,10494,5967,125,61835,0,148,377,0,-438,21027.246017846,0.2165,"Yes"
"2248","Edison International","EIX","55101010",2478499,13719,8281,0,53825,0,0,0,0,-394,24202.9877282984,1,"Yes"
"2249","CMS Energy Corporation","CMS","55103010",2478500,7109,4284,0,31560,0,47,0,0,-360,17236.213439641,0.8263,"Yes"
"2250","Ameren Corp","AEE","55101010",2478501,6263,3203,0,42668,0,15,411,0,-662,19777.4056864791,0.4127,"Yes"
"2251","DTE Energy Co","DTE","55101010",2478502,13063,0,0,37950,871,71,2352,0,-183,24187.4706122025,1,"Yes"
"2252","Consolidated Edison  Inc.","ED","55101010",2478503,13142,5973,0,56563,1727,700,459,24,183,25419.6379222241,0.6361,"Yes"
"2253","American Water Works Company Inc","AWK","55104010",2478504,3967,0,0,28322,68,49,1541,0,432,26988.309611273,0.3993,"Yes"
"2254","Public Service Enterprise Group Inc.","PEG","55101010",2478505,10037,0,0,49216,149,162,0,0,1043,28512.7079772982,0.8247,"Yes"
